Обновлено 20.07.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2017 гг., рублей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;2014;;;;;;;;;;;;2015 1);;;;;;;;;;;;2016 1);;;;;;;;;;;;2017;;;;
;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май
Иркутская область;26328;25685;27291;28098;30357;29992;28162;28083;28786;29562;30851;37640;29618;28645;30815;31604;31945;31811;30545;29758;29755;31033;32379;38981;30584;29855;31246;33862;33172;33636;32114;30792;31489;32561;32539;39653;32684;31767;33294;33134;37463;36591;33631;33198;33829;34558;35698;42940;34232;33813;36820;35824;40528
Кемеровская область;23134;23230;24634;24684;25678;26289;25011;24663;24796;25412;25680;31018;25531;24604;25812;26211;26989;27713;26156;25529;25968;26709;27047;32475;26829;25971;27315;27828;28635;29354;27873;27325;27703;28022;27913;33967;27669;27160;28670;28726;30339;31129;28852;29126;29196;29468;29760;37788;30157;29590;31704;31713;33701
Новосибирская область;23125;22579;24218;25022;24721;25540;25919;24862;25008;26279;26894;32898;25439;24571;26253;26786;26857;27560;27310;26760;26767;27613;28105;33972;26194;25816;27339;28281;27802;28876;28019;26963;27109;28177;28548;34588;26603;27102;28715;28921;29601;31171;29066;29097;29670;29747;30611;38053;30146;30071;32409;32484;33417
Омская область;22383;21834;23198;24688;24304;25880;24376;24043;24561;25210;25758;32260;24505;23915;24905;26365;26044;27774;25620;24441;25575;26782;26311;33452;25360;25128;26483;27440;28250;28833;27415;26113;26979;27724;27220;34243;25791;25991;27400;28162;29270;29932;27246;27505;28070;27917;28212;36202;26755;26693;29479;29579;30914
Томская область;26273;26705;28365;30010;31400;30951;30454;29937;29551;30232;31517;39906;29465;28621;31337;33831;32229;33009;32399;31159;31864;32466;32612;41077;31357;30522;32377;37532;33460;36777;32912;32218;32971;33117;33333;41013;31746;32018;33615;35623;40124;37550;34008;34285;34447;33534;34290;44323;35394;34634;36196;37669;43232
Республика Саха (Якутия);38767;38322;42181;43257;48043;49853;40931;39562;44153;44881;46302;78413;44616;43999;48889;48533;53547;55543;46660;41999;47271;47985;50482;80008;47295;49122;51556;52899;58526;60157;50065;44920;50348;52016;51149;81751;50716;50979;57885;54556;64863;64312;52951;50225;54143;53959;56120;90982;53285;55628;59395;59357;68590
Камчатский край;46060;40541;44676;49181;54896;49409;46560;44403;44771;47892;45734;66313;50390;46043;51912;52351;57941;53608;51055;49252;49667;52388;51156;68829;52495;49879;55027;58849;63684;57808;53781;52514;49842;55487;53974;71270;53089;52769;55189;60048;66731;61531;62826;56691;58716;62221;58402;76437;57404;57637;60183;66878;77043
Приморский край;27799;26500;27609;28521;29543;30620;29834;27904;28056;30270;31133;40030;30449;29412;31590;32381;32481;33859;32652;30258;30749;32125;32597;40735;31567;30906;32592;33895;34768;35414;33862;31860;32609;33397;33218;41735;33469;32707;34792;35244;37058;38663;35807;34001;34923;35346;36413;44955;35397;34439;36542;36660;38986
Хабаровский край;30847;29730;31564;33021;33124;34297;33732;32470;32738;34082;34975;45351;33217;32583;34301;35737;35826;37398;36409;35006;35351;36982;36564;45750;35703;34020;36113;38378;38157;38818;38043;36631;36944;38799;37464;47734;37081;36873;37685;38983;39779;40961;39770;41998;41414;42747;42476;53869;43224;42525;44750;44931;49015
Амурская область;28487;27152;28470;28441;29441;30809;29363;28723;28998;30228;29870;38746;29882;29197;30969;32062;32351;34219;31979;30242;31371;32449;31778;40631;29190;28781;30227;31090;31652;33654;32206;30781;31134;31932;31803;39901;30422;30050;32365;31095;33592;34856;32023;31425;33841;32744;33029;42113;33715;33136;35561;35184;37522
Магаданская область;52403;52914;52989;55151;58831;59156;54481;51309;55337;53791;58359;79864;54872;55059;55209;59340;65295;61243;61090;56334;61157;58536;67268;83226;57913;55172;59299;62604;68139;66733;63177;59878;68558;61071;71313;85685;57117;61823;61626;65484;71878;72626;66746;62399;70240;62773;82688;86509;61004;66821;66150;74258;79959
Сахалинская область;44706;43528;49032;45810;47698;48178;49517;48365;49119;48703;48194;59026;49936;49876;57824;52049;53714;55296;53694;51517;53596;54012;54456;68427;57974;61953;59032;59491;60034;60796;60942;58125;59567;59128;60464;77098;69384;63267;63914;63773;65400;67849;65814;64849;64666;63756;63174;79338;72213;65063;68047;66901;70052
Еврейская авт.область;25717;23360;25515;26200;27909;27982;27093;25653;25895;27166;27917;35512;27897;26308;27712;29488;29926;30286;29691;27400;28062;29433;28470;36829;27981;27759;28999;30884;31660;32298;31074;29054;30438;30897;29868;38251;29638;29545;30337;29579;33243;32305;31115;30982;31819;31479;32091;41470;30922;31605;33042;33862;35518
Чукотский авт.округ;65699;60541;68876;74151;69870;68136;69494;67370;66379;66438;72286;93444;71929;68199;72780;80236;79563;78584;77515;70334;71099;71273;75439;97495;72779;77003;76186;81235;83232;78803;82693;73809;70349;73120;76853;99592;75793;84819;82439;88761;89693;86309;86460;81459;78363;77838;81207;115093;80093;92452;92136;94719;94997
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 1) Южный федеральный округ без учета данных по Республике Крым и г. Севастополю;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
