Обновлено 20.07.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2017 гг., рублей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;2014;;;;;;;;;;;;2015 1);;;;;;;;;;;;2016 1);;;;;;;;;;;;2017;;;;
;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май
Ярославская область;20772;20845;21338;22449;22315;23209;22716;22210;22341;22980;23564;29705;22824;22618;23789;25150;25122;26198;24690;23811;24675;24987;25806;31575;24466;24197;25491;26373;26967;27996;26230;25241;25934;26366;26737;32716;25725;26022;27410;28002;28997;29911;27535;27317;28038;28318;28950;35445;27778;27900;29505;29847;31069
г.Москва ;48817;49587;55049;59134;54223;58548;58039;53349;52893;54355;54882;76238;53584;54673;59754;64338;58422;62608;61610;56683;59658;61132;61235;82593;56095;60322;61040;66127;64908;66562;64927;59912;60424;61527;62452;88624;60162;67092;70551;74733;69772;73215;69015;68728;66920;67025;67899;98436;73826;73846;80117;86759;76916
Республика Карелия;25350;25226;26102;26166;27783;29946;27758;26785;26947;27462;28703;34748;27961;26918;29453;28091;29534;32317;28691;26835;28174;28376;29326;35726;28419;27980;30175;29690;30932;32995;29924;27704;29433;30278;29609;36704;29920;31717;31192;31425;33664;35768;31468;31037;31576;32173;32112;38992;32782;33771;35118;34788;35265
Республика Коми;34563;33627;34816;39357;37414;37565;37619;36727;36006;36386;36549;47217;37145;36049;38566;42586;40402;42131;39110;37216;37288;38662;38117;49734;37973;37161;39629;43828;41398;42932;39668;38635;38758;39074;39412;50718;40969;41146;42897;44054;46701;48066;42144;40926;40434;40613;41285;51986;40671;41851;44340;45568;49613
Архангельская область;30121;28154;30218;31447;32512;33578;32965;31037;30969;32479;32066;44541;33650;31975;33881;35696;36816;38286;35429;32134;34077;35081;35027;45634;36159;34503;36831;37913;40632;42805;37663;34473;36390;37340;36537;47070;38593;37553;39885;40275;44072;45268;40495;38251;39185;39664;39805;49152;40082;39381;40653;42069;46123
Ненецкий автономный округ;59599;54525;61019;63366;63856;64454;64362;60196;57105;60576;57641;83400;63697;58564;67100;67827;65867;69436;67590;60672;63340;61844;63360;91657;67452;62424;67857;69878;79157;87891;68541;61049;65341;65469;65017;91780;71601;65272;70950;71649;80029;76576;70173;65245;66006;67387;66211;87751;72299;66344;71920;76616;84418
Вологодская область;24570;23918;23910;24789;24562;25442;24797;24313;24016;24721;24734;29944;24893;25204;25314;27138;26323;27376;26119;25256;25732;26199;25889;35732;25253;25747;26266;27935;28040;28952;26816;26472;26535;27103;26906;31563;26873;29420;29703;27837;29466;31225;28337;28625;28350;28829;29000;34733;28099;31217;31794;29647;31055
Калининградская область;22347;22242;22957;24465;24783;25701;25236;25022;24295;25704;27538;34930;25584;25130;26669;26667;25823;26179;26226;24879;26254;27642;26746;35577;25680;26231;28005;27766;28872;28870;28868;27556;28011;28868;28075;36457;27440;27746;29088;29540;29914;30372;29514;28817;29147;28653;29342;38153;28506;29255;30429;31210;31157
Ленинградская область;26804;26921;28661;29519;29449;30266;30014;29703;28823;29399;29413;35752;29435;29468;31045;33038;31865;32628;32218;31398;31279;32700;31858;38448;32089;33099;33347;34539;33237;34177;34017;33184;32648;33280;33144;38862;32810;34272;34922;35915;36033;36393;36159;35206;35075;35712;35491;42330;35063;36140;37943;38199;38796
Мурманская область;36284;34960;37815;40443;42613;40793;38747;35384;36136;40702;39288;56446;40027;38665;40619;44733;47107;44548;42042;36420;38741;42301;41297;57845;41449;41466;42660;47139;50217;46777;45529;39090;42299;45511;45099;59297;45063;46365;46207;50499;53454;50841;47721;43330;44013;46320;47396;63276;47568;48328;48875;51789;56704
