Лабинск - 60665
Сибай - 61354
Котлас - 61512
Александров - 59787
Ржев - 60039
Воркута - 59231
Мелеуз - 59154
Тихорецк - 59297
Лесосибирск - 59844
Видное - 62355
Белебей - 59081
Фрязино - 59793
Сальск - 58680
Павлово - 58423
Краснотурьинск - 58023
Шуя - 58690
Алексин - 58759
Щёкино - 57973
Михайловка - 58433
Тихвин - 57970
Прохладный - 58083
Искитим - 57416
Нерюнгри - 57791
Крымск - 57184
Апатиты - 56683
Нягань - 57120
Гусь-Хрустальный - 55973
Избербаш - 57511
Берёзовский - 56586
Свободный - 54536
Урус-Мартан - 57615
Волжск - 54600
Жигулёвск - 55052
Лиски - 54788
Лыткарино - 57076
Краснокамск - 53964
Краснокаменск - 53242
Узловая - 52328
Арсеньев - 53083
Тимашёвск - 52581
Солнечногорск - 52446
Белореченск - 52153
Боровичи - 51555
Рославль - 51466
Черемхово - 51338
Дзержинский - 53867
Выкса - н/д
Кириши - 52338
Шали - 52405
Вязьма - 53660
Назарово - 50652
Сертолово - 51090
Энем - 19091
Гудермес - 52603
Адыгейск - 12689
Яблоновский - 32039
Тульский - 10862
Гиагинская - 13788
Ханская - 11767
Бирск - н/д
Благовещенск - 35037
Янаул - 25894
Дюртюли - н/д
Давлеканово - 23820
Чишмы - 22008
Учалы - 37516
Раевский - Н/д
Приютово - 19768
Межгорье - 16019
Агидель - 15616
Красноусольский - Н/д
Чекмагуш - Н/д
Кандры - Н/д
Месягутово - Н/д
Буздяк - Н/д
Толбазы - Н/д
Северобайкальск - 23944
Гусиноозёрск - 23359
Кяхта - 19980
Иглино - Н/д
Селенгинск - 13793
Онохой - 10760
Закаменск - 11234
Кизилюрт - 35762
Дагестанские Огни - 28887
Карабудахкент - Н/д
Ленинкент - 16178
Бабаюрт - Н/д
Тарки - 15544
Баймак - 17475
Семендер - 13931
Нижнее Казанище - Н/д
Кизляр - 48237
Касумкент - Н/д
Альбурикент - 12682
Шамхал - 11849
Белиджи - 11583
Новый Хушет - Н/д
Каякент - Н/д
Мамедкала - 11052
Леваши - Н/д
Шамхал-Термен - Н/д
Южно-Сухокумск - 10388
Новый Кяхулай - 10093
Карабулак - Н/д
Малгобек - Н/д
Нестеровская - Н/д
Троицкая - Н/д
Экажево - Н/д
Кантышево - Н/д
Плиево - Н/д
Сурхахи - Н/д
Барсуки - Н/д
Сагопши - Н/д
Баксан - 37782
Нарткала - 30497
Майма - 17824
Майский - 26831
Тырныауз - 20551
Дыгулыбгей - 20387
Терек - 19426
Ботлих - Н/д
Нартан - Н/д
Исламей - Н/д
Ахты - Н/д
Заюково - Н/д
Шалушка - Н/д
Чегем Второй - Н/д
Хасанья - Н/д
Троицкое - Н/д
Усть-Джегута - 30245
Чегем - 17957
Лагань - 13170
Учкекен - Н/д
Зеленчукская - Н/д
Карачаевск - 20976
Сторожевая - Н/д
Кондопога - Н/д
Костомукша - Н/д
Сегежа - Н/д
Медвежьегорск - Н/д
Питкяранта - Н/д
Сортавала - Н/д
Кемь - Н/д
Беломорск - Н/д
Усинск - 39025
Сосногорск - 26670
Выльгорт - 11756
Вуктыл - 10430
Воргашор - 10450
Джанкой - 38934
Алушта - 29586
Бахчисарай - 27351
Красноперекопск - 26139
Саки - 25186
Печора - 40653
Армянск - 21981
Инта - 26983
Белогорск - 16428
Гвардейское - Н/д
Черноморское - Н/д
Красногвардейское - Н/д
Щёлкино - 10593
Приморский - Н/д
Советский - Н/д
Октябрьское - Н/д
Козьмодемьянск - 20505
Медведево - 18147
Звенигово - 11504
Советский - 10446
Рузаевка - 46064
Ковылкино - 20387
Комсомольский - 12971
Зубова Поляна - 10128
Мирный - 34836
Ленск - 23693
Гаспра - Н/д
